Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,,avgJifPercentile
2016,"14,320",2.321,1.966,2.82,0.326,"1,812",2.9,9.4,0.06728,0.995,92.66,7.72264,,74.806
2015,"9,540",2.463,1.969,2.885,0.423,"1,729",2.6,9.3,0.04731,1.031,90.51,5.39213,,77.907
2014,"6,105",2.56,2.058,3.039,0.518,"1,244",2.4,9.1,0.02959,1.047,88.02,3.31382,,82.558
2013,"3,230",2.843,2.225,2.869,0.524,815,2.1,8.6,0.01509,0.948,87.12,1.6637,,84.884
Copyright © 2017 Clarivate Analytics,,,,,,,,,,,,,1,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
